Perf_id;Proc_filing;Perf_description;Perf_initialDate;Perf_finalDate;Perf_date;Perf_location;Perf_attached
0;11001310502320180040900;11 Oct 2019 - ENTREGA AVISO NOTIFICACIÓN - SE NOTIFICA MINISTERIO DE SALUD Y PROTECCION SOCIAL;;;2019-10-16;NOTIFICACIONES;
0;11001310503120180035600;17 Oct 2019 - ENTREGA CITATORIO - A LA PARTE PARA QUE LOS TRAMITE;;;2019-10-17;SECRETARÍA;
0;11001310502320180041000;10 Mar 2020 - ENTREGA AVISO NOTIFICACIÓN - SE NOTIFICA A LA ANDJE;;;2020-03-09;NOTIFICACIONES;
0;11001310500220200021100;05 Ago 2020 - RECEPCIÓN MEMORIAL - ALLEGAN CERTIFICADO CAMARA DE COMERCIO COOMEVA;;;2020-08-10;DESPACHO;
0;11001310503420200023100;20 Aug 2020 - ENTREGA AVISO NOTIFICACIÓN;;;2020-08-20;SECRETARÍA;
0;11001310501420200021800;REVISAR SI ES DE LA DRA. HERNÁNDEZ 30 Jul 2020 - RADICACIÓN DE PROCESO;;;2020-08-30;SECRETARÍA;
0;11001310501420200021900;RAD 31 JUL 2020 7516 02 Sep 2020 - RADICACIÓN DE PROCESO;;;2020-09-02;DESPACHO;
0;11001310503420200023500;22 Sep 2020 - ADMITE DEMANDA;2020-09-23;2020-09-23;2020-09-23;NOTIFICACIONES;
0;11001310500320200024700;RAD 31 JUL 2020 7607 // 25 Sep 2020 - RADICACIÓN DE PROCESO;;;2020-09-25;SECRETARÍA;
0;11001310501920200023601;RAD 30 JUL 2020 7625 // 01 Oct 2020 - ADMITE DEMANDA;2020-10-02;2020-10-02;2020-10-02;NOTIFICACIONES;
0;11001310501920200024400;RAD 31 JUL 2020 7588 // 01 Oct 2020 - AUTO ADMITE DEMANDA;2020-10-02;2020-10-02;2020-10-02;NOTIFICACIONES;
0;11001310501720200021100;05 Oct 2020 - ADMITE DEMANDA;2020-10-06;2020-10-06;2020-10-06;DESPACHO;
0;11001310501520200023400;05 Nov 2020 - INADMITE DEMANDA;2020-11-06;2020-11-06;2020-11-06;TÉRMINOS;
0;11001310502320200025000;10 Nov 2020 - SE ENVIA EXPEDIENTE A LA SUPERINTENDENCIA NACIONAL DE SALUD OFICIO NO. 245 DE NOVIEMBRE 9 DE 2020 (EST SS 12FEB2021);;;2020-11-10;SECRETARÍA;
0;11001310503620200044500;13 Nov 2020 RADICACIÓN DE PROCESO SEC13444 SOL78776;;;2020-11-13;REPARTO;
0;11001310502120200023900;09 Dic 2020 - RECEPCIÓN MEMORIAL - ALLEGAN SUBSANCION DE DEMANDA;;;2020-12-09;TÉRMINOS;
0;11001310502120200023800;10 Dic 2020 - RECEPCIÓN MEMORIAL - COOMEVA ALLEGA SUBSANACIÓN;;;2020-12-10;TÉRMINOS;
0;11001310501920200023900;10 Dic 2020 - ADMITE DEMANDA, TRASLADO;2020-12-11;2020-12-11;2020-12-11;SECRETARÍA;
0;11001310302120180048500;12 Ene 2021 - ENVIO EXPEDIENTE - AL H. TRIBUNAL;;;2021-01-12;TRIBUNAL SUPERIOR;
0;11001310500120200036800;RAD 31 JUL 2020 7496 // 14 Ene 2021 - AL DESPACHO;;;2021-01-14;DESPACHO;
0;11001310500120200038300;RAD 31 JUL 2020 7617 // 14 Ene 2021 - AL DESPACHO;;;2021-01-14;DESPACHO;
0;11001310500120200038700; REVISAR SI ES EL DE LA DRA. HERNÁNDEZ 14 Ene 2021 - AL DESPACHO;;;2021-01-14;DESPACHO;
0;11001310503020180033300;15 Ene 2021 - RECEPCIÓN MEMORIAL - EL 14/10/20 ADRES ALLEGA AL CORREO ELECTRONICO(SE ANEXA AL ONEDRIVE);;;2021-01-15;TÉRMINOS;
0;11001310503720210002300;20 Ene 2021 - AL DESPACHO POR REPARTO ;;;2021-01-20;DESPACHO;
0;11001310502020200021701;22 Ene 2021 - INADMITE DEMANDA;2021-01-25;2021-01-25;2021-01-25;TÉRMINOS;
0;11001310502020200021801;22 Ene 2021 - INADMITE DEMANDA;2021-01-25;2021-01-25;2021-01-25;TÉRMINOS;
0;11001310502020200021901;22 Ene 2021 - INADMITE DEMANDA;2021-01-25;2021-01-25;2021-01-25;TÉRMINOS;
0;11001310503720200032200;27 Ene 2021 - AL DESPACHO;;;2021-01-27;DESPACHO;
0;11001310501220200022500;29 Ene 2021 - RECEPCIÓN MEMORIAL - SUBSANACION DEMANDA VIA CORREO ELECTRONICO,COOMEVA;;;2021-01-29;TÉRMINOS;
0;11001310503820200025500;RAD 31 JUL 2020 7603 // 02 Feb 2021 INADMITE DEMANDA, CONCEDE TERMINO;2021-02-03;2021-02-03;2021-02-03;TÉRMINOS;
0;11001310500220180042100;17 Feb 2021 - AL DESPACHO;;;2021-02-17;DESPACHO;
0;11001310503720200031200;22 Feb 2021 - RECEPCIÓN MEMORIAL - SUBSANCIÓN DE DEMANDA;;;2021-02-22;TÉRMINOS;
0;11001333603220200029700;24 Feb 2021 - OFICIO REMISORIO - CON OFICIO 75 SE REMITIO EXPEDIENTE A CORTE CONSTITUCIONAL ;;;2021-02-24;SECRETARÍA;
