Perf_id;Proc_filing;Perf_description;Perf_initialDate;Perf_finalDate;Perf_date;Perf_location;Perf_attached
0;J-2016-0679;EST 12FEB2021 NURC 1-2019-708683;;;2016-01-01;;
0;11001310503620160001500;21 Abr 2016 - ENVIO EXPEDIENTE - CORRESPONDIO AL 62 ADMINISTRATIVO;;;2017-04-21;EXTERNO;
0;25000232600020110057601;24 Abr 2017 - SUPERSALUD - CONFLICTO DE JURISDICCIÓN JUZGADO 02 LABORAL 2017-0298, JUZGADO 41 CCTO 2017-0541, TSB SALA MIXTA FOLIO 217;;;2017-04-24;CONSEJO SUPERIOR DE LA JUDICATURA;
0;FOLIO 217;22 Jun 2018 - SUPERSALUD - CONFLICTO DE JURISDICCIÓN CON 2011-0576, JUZGADO 02 LABORAL 2017-0298, JUZGADO 41 CCTO 2017-0541;;;2018-06-29;CONSEJO SUPERIOR DE LA JUDICATURA;
0;11001310304120170054100; 10 Oct 2017 - SUPERSALUD - CONFLICTO DE JURISDICCIÓN CE 2011-0576, JUZGADO 02 LABORAL 2017-0298, TSB SALA MIXTA FOLIO 2017;;;2018-10-10;CONSEJO SUPERIOR DE LA JUDICATURA;
0;11001310503120160063301; 22 Oct 2018 - AL DESPACHO PARA SENTENCIA ;;;2018-10-22;DESPACHO;
0;11001310501020150088200;15 Nov 2018 - AUTO DE TRÁMITE;;;2018-11-15;LETRA;
0;11001310503820180027800;12 Feb 2019 - ACEPTA RENUNCIA ORDENA REQUERIR A LA DEMANDANTE;2019-02-13;2019-02-13;2019-02-13;TÉRMINOS;
0;11001310500920150024500;21 Jun 2019 - ENTREGA AVISO NOTIFICACIÓN;;;2019-06-21;LETRA;
0;11001310500820080062501; 11 Jul 2019 - AL DESPACHO ;;;2019-07-11;DESPACHO;
0;11001310502820150015100;30 Sep 2019 - RESUELVE ACLARACIÓN - AUDIENCIA 30 DE ABRIL DE 2020, 08:30 A.M.;2019-10-01;2019-10-01;2019-10-01;LETRA;
0;11001311002520180066600;08 Nov 2019 - CONSTANCIA SECRETARIAL;;;2019-11-08;LETRA;
0;11001310503020160040800;15 Nov 2019 - RESUELVE DESISTIMIENTO DE 6 RECOBROS, REQUIERE;2019-11-18;2019-11-18;2019-11-18;LETRA;
0;25000234100020180004700;03 Dic 2019 - AL DESPACHO PARA SENTENCIA;;;2019-12-03;DESPACHO;
0;11001310500320150059400;06 Dic 2019 - AL DESPACHO;;;2019-12-06;DESPACHO;
