Perf_id;Proc_filing;Perf_description;Perf_initialDate;Perf_finalDate;Perf_date;Perf_location;Perf_attached
0;68767868787687;Recepción de documentación;2020-11-19;;;Recepción 1er piso;www.google.com.co
0;68767868787687;Entrega papels;2020-11-20;2020-11-20;2020-11-19;Despacho 202;www.google.com.co
0;768799879879879;Recepción de documentación;2020-11-19;;;Recepción 1er piso;
0;768799879879879;Recepción de documentación;2020-11-20;;;Despacho 20211;
0;768799879879879;Recepción de documentación;2020-11-21;;;Despacho;www.google.com.co
0;798798798798;28 - Ago. Citación;2020-08-28;2020-08-28;2020-08-28;Juzgado 1;
0;798798798798;1 Nov. Citación;2020-11-01;;;Juzgado 1;
0;985454334243;Recepción de documentación;2020-11-19;;;Recepción 1er piso;www.google.com.co
0;14657643567587;Entrega papels;2020-11-20;2020-11-20;2020-11-19;Despacho 202;www.google.com.co
0;14657643567587;Entrega papels;2020-11-20;2020-11-20;2020-11-19;Despacho;
0;5417698798798;Recepción de documentación;2020-10-19;;;Recepción 1er piso;www.google.com.co
0;5417698798798;Recepción de documentación;2020-11-01;2020-11-01;2020-11-01;Recepción 1er piso;www.google.com.co
0;5417698798798;Recepción de documentación;2020-11-06;;;Recepción 1er piso;www.google.com.co
0;5417698798798;Recepción de documentación;2020-11-19;2020-11-19;2020-11-19;Recepción 1er piso;www.google.com.co
0;2654654099864;Recepción de documentación;2020-11-19;;;Recepción 1er piso;www.google.com.co
0;324326765998675;Entrega papels;2020-11-20;2020-11-20;2020-11-19;Despacho 202;www.google.com.co
0;34566061247687;Recepción de documentación;2020-11-19;2020-11-19;2020-11-19;Recepción 1er piso;www.facebook.com
;;;;;;;
