Perf_id;Proc_filing;Perf_description;Perf_initialDate;Perf_finalDate;Perf_date;Perf_location;Perf_attached
0;11001400305520150107800;23 Oct 2020 - CONSTANCIA SECRETARIAL - ALLEGAR ARACEL Y CANCELAR COPIAS;;;2020-10-23;VOLVER AL DESPACHO;
0;11001400305520190073600;12 Ago 2020 - AUTO ORDENA ENTREGAR TÍTULOS AL LIQUIDADOR;2020-08-13;2020-08-13;2020-08-13;TÍTULOS;
0;11001400305620200063400;20 Nov 2020 - AL DESPACHO;;;2020-11-25;DESPACHO;
0;11001400305720190035300;20 Oct 2020 - AUTO DE TRÁMITE;2020-10-21;2020-10-21;2020-10-21;LETRA;
0;11001400305720200004700;02 Dic 2020 - OFICIO ELABORADO ;;;2020-12-02;TÉRMINOS;
0;11001400305820180018500;30 Oct 2020 - ESTESE A LO DISPUESTO EN AUTO DEL 2 DE JULIO DE 2020;2020-11-03;2020-11-03;2020-11-03;LETRA;
0;11001400305820180038400;30 Nov 2020 - RECEPCIÓN MEMORIAL;;;2020-11-30;SECRETARÍA;
0;11001400306420180073100; 28 Ene 2019 - RECONOCE PERSONERÍA ;2020-01-29;2020-01-29;2020-01-29;LETRA;
0;11001400306520190048000;17 Oct 2019 - AUTO DE TRÁMITE;2019-10-18;2019-10-18;2019-10-18;TÉRMINOS;
0;11001400303820190106600;17 Nov 2020 - RECEPCIÓN MEMORIAL - REITERA SOLICITUD // AL DESPACHO - SOLICITUD;;;2020-11-17;DESPACHO;
0;11001400303820200038600;30 Nov 2020 - REQUIERE AUXILIAR DE LA JUSTICIA;2020-12-01;2020-12-01;2020-12-01;TELEGRAMAS;
0;11001400304320170091600;"07 Dic 2020 - MEMORIAL AL DESPACHO - SOLICITUD DE CONVERSION DE TITULOS; MEMORIAL SOLICITANDO AUTOS, SE ENVIA DE ACUERDO A SOLICITUD";;;2020-12-07;DESPACHO;
0;11001400304320190064900;03 Dic 2020 - AL DESPACHO;;;2020-12-03;DESPACHO;
0;11001400304320190077500;30 Nov 2020 - ENVÍO COMUNICACIONES - SE ENVIA OFICIO A COLPENSIONES Y CREDIVALORES;;;2020-11-30;TÉRMINOS;
0;11001400304420200014300; 26 Feb 2020 - ENVÍO COMUNICACIONES ;;;2020-02-26;TÉRMINOS;
0;11001400304520180003900;31 Ene 2020 - OFICIO ELABORADO - 0276-77;;;2020-01-31;LETRA;
0;11001400304520190091100;13 Nov 2020 - AL DESPACHO - CON EMPLAZAMIENTO;;;2020-11-13;DESPACHO;
0;11001400304620170066200; 27 Oct 2020 - RECONOCE PERSONERÍA;2020-10-28;2020-10-28;2020-10-28;LETRA;
0;11001400304620180045100;17 Nov 2020 - ELABORACIÓN OFICIO PAGO TÍTULO - TITULO ELABORADO PARA MARCO BERNAL CARRILLO;;;2020-11-17;LETRA;
0;11001400304620180102100; 29 Ago 2018 - ENVÍO EXPEDIENTE - CONCILIADOR ;;;2018-08-29;SECRETARÍA;
0;11001400304620190032200;11 Nov 2020 - ORDENA OFICIAR;2020-11-12;2020-11-12;2020-11-12;LETRA;
0;11001400304620200034300;09 Nov 2020 - NOMBRA AUXILIAR DE LA JUSTICIA;2020-11-10;2020-11-10;2020-11-10;SECRETARÍA;
0;11001400304720190006100; 29 Nov 2019 - EL PROCESO SE ENVIO AL CENTRO DE CONCILIACION ;;;2019-11-29;SECRETARÍA;
0;11001400304720200003600;26 Nov 2020 - AL DESPACHO;;;2020-11-26;DESPACHO;
0;11001400304720200067000;19 Oct 2020 - AL DESPACHO;;;2020-10-21;DESPACHO;
0;11001400304820190044700;03 Dic 2020 - AL DESPACHO;;;2020-12-03;DESPACHO;
0;11001400304820190064900;07 Sep 2020 - NOMBRA AUXILIAR DE LA JUSTICIA;2020-09-08;2020-09-08;2020-09-08;TELEGRAMAS;
